UID          PID    PPID  C STIME TTY          TIME CMD
stavron+    1019     694  0 22:50 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
stavron+    1034     694 18 22:50 ?        00:02:53 /usr/bin/gnome-shell
stavron+    1058     694  0 22:50 ?        00:00:00 /usr/libexec/gvfsd-metadata
stavron+    1079    1034  0 22:50 ?        00:00:00 ibus-daemon --panel disable --xim
stavron+    1083    1079  0 22:50 ?        00:00:00 /usr/libexec/ibus-memconf
stavron+    1084    1079  0 22:50 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
stavron+    1087     694  0 22:50 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
stavron+    1090     694  0 22:50 ?        00:00:00 /usr/libexec/ibus-portal
stavron+    1100     694  0 22:50 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
stavron+    1104     694  0 22:50 ?        00:00:00 /usr/libexec/xdg-permission-store
stavron+    1109     694  0 22:50 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
stavron+    1115     694  0 22:50 ?        00:00:00 /usr/libexec/evolution-source-registry
stavron+    1125     694  0 22:50 ?        00:00:00 /usr/libexec/evolution-calendar-factory
stavron+    1133     694  0 22:50 ?        00:00:00 /usr/libexec/dconf-service
stavron+    1136     694  0 22:50 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
geoclue     1151       1  0 22:50 ?        00:00:00 /usr/libexec/geoclue
stavron+    1166     781  0 22:50 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
stavron+    1171     694  0 22:50 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
stavron+    1185     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-a11y-settings
stavron+    1188     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-color
stavron+    1189     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-datetime
stavron+    1190     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-housekeeping
stavron+    1191     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-keyboard
stavron+    1199     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-media-keys
stavron+    1200     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-power
stavron+    1201     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-print-notifications
stavron+    1205     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-rfkill
stavron+    1208     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
stavron+    1212     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-sharing
stavron+    1217     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-smartcard
stavron+    1218    1019  0 22:50 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
stavron+    1219     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-sound
stavron+    1227     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-usb-protection
stavron+    1229     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-wacom
stavron+    1233     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-wwan
stavron+    1234    1019  0 22:50 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
stavron+    1235     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-xsettings
stavron+    1256    1079  0 22:50 ?        00:00:00 /usr/libexec/ibus-engine-simple
colord      1281       1  0 22:50 ?        00:00:00 /usr/libexec/colord
stavron+    1292     694  0 22:50 ?        00:00:00 /usr/libexec/gsd-printer
stavron+    1378    1019  0 22:51 ?        00:00:00 update-notifier
stavron+    1560     694  0 22:53 ?        00:00:02 /usr/libexec/gnome-terminal-server
stavron+    1568    1560  0 22:53 pts/0    00:00:00 bash
root        1676       2  0 22:55 ?        00:00:00 [kworker/u2:1-events_unbound]
root        4186       2  0 22:58 ?        00:00:00 [kworker/u2:2-ext4-rsv-conversion]
root        4416       2  0 22:59 ?        00:00:00 [kworker/0:7-events]
root        4418       2  0 22:59 ?        00:00:00 [kworker/0:9-events]
root        5098       2  0 23:05 ?        00:00:00 [kworker/0:0-events]
stavron+    5106    1568  0 23:06 pts/0    00:00:00 ps -ef
